
vehicle_count,average_speed,waiting_time,traffic_density,time_of_day,day_of_week,queue_length,pedestrian_count,weather_condition,road_incident,congestion
29,12.36,12.36,0.358,8,5,26.17,5,0,1,MEDIUM
39,23.77,13.87,0.549,5,5,35.92,30,2,1,HIGH
0,41.67,0.5,0.0,2,0,0.0,10,1,1,LOW
50,24.24,15.96,0.663,3,0,46.06,6,1,0,HIGH
67,14.4,22.65,0.775,13,1,56.23,26,2,1,HIGH
53,18.64,9.94,0.72,17,2,41.08,18,1,1,HIGH
12,38.01,5.05,0.136,14,2,10.19,0,1,1,LOW
43,26.33,15.4,0.484,5,5,35.87,7,2,0,HIGH
21,30.62,9.59,0.285,22,1,16.34,24,1,0,LOW
78,17.57,28.09,0.92,15,6,68.44,8,2,1,HIGH
71,19.57,24.72,0.833,21,5,64.49,20,0,0,HIGH
15,35.73,6.98,0.093,0,6,16.46,17,1,0,LOW
41,28.74,14.23,0.511,1,6,38.93,0,0,1,HIGH
76,19.36,25.25,0.98,1,0,65.36,3,0,1,HIGH
68,14.83,19.69,0.911,18,4,57.04,2,0,1,HIGH
57,25.02,17.86,0.704,8,6,47.85,25,1,0,HIGH
51,20.36,18.55,0.7,6,0,48.18,22,0,1,HIGH
3,39.81,7.73,0.039,14,1,0.63,4,2,0,LOW
60,15.44,18.4,0.744,16,2,56.76,20,2,0,HIGH
38,25.95,12.52,0.509,10,1,32.66,4,0,0,MEDIUM
7,33.42,4.46,0.151,9,5,5.22,9,0,0,LOW
19,24.2,10.68,0.217,9,0,20.73,21,2,1,MEDIUM
43,34.15,13.96,0.523,7,6,41.58,26,2,0,HIGH
58,29.54,21.91,0.715,9,2,54.78,9,1,0,HIGH
41,23.66,11.06,0.517,11,4,38.5,6,2,1,HIGH
49,28.08,15.25,0.558,7,2,43.86,0,0,0,HIGH
70,21.49,21.1,0.937,12,2,65.35,13,1,1,HIGH
55,9.83,19.37,0.663,15,6,53.86,17,0,1,HIGH
29,29.87,12.73,0.39,16,2,27.64,3,1,0,MEDIUM
52,23.25,12.79,0.6,0,6,48.39,20,0,1,HIGH
48,24.86,13.15,0.622,15,4,41.99,20,0,1,HIGH
8,27.86,5.08,0.123,7,2,8.91,4,0,0,LOW
4,32.77,1.47,0.025,16,6,0.92,2,2,0,LOW
53,22.45,13.03,0.784,23,1,44.05,6,1,0,HIGH
31,34.12,13.28,0.41,9,2,32.0,5,2,0,MEDIUM
48,26.11,16.67,0.707,2,6,39.67,5,0,0,HIGH
26,29.25,10.51,0.383,16,1,26.46,23,2,1,MEDIUM
18,38.68,5.85,0.185,7,6,17.16,6,1,1,LOW
12,29.58,7.93,0.127,8,0,13.99,15,1,0,LOW
30,26.45,9.8,0.401,14,0,20.26,24,1,0,MEDIUM
66,11.4,23.22,0.829,14,0,59.82,20,2,0,HIGH
32,35.81,8.68,0.403,0,4,29.55,13,1,0,MEDIUM
30,33.22,8.26,0.358,11,5,23.67,22,2,0,MEDIUM
46,29.46,15.39,0.466,9,5,41.71,0,0,1,HIGH
79,20.96,22.36,0.974,13,4,61.58,18,1,0,HIGH
31,28.73,12.37,0.254,15,4,31.14,10,2,0,MEDIUM
47,25.74,15.81,0.61,0,6,40.4,6,2,1,HIGH
35,26.04,9.49,0.394,1,6,32.81,5,1,0,MEDIUM
49,23.2,15.9,0.57,11,0,38.31,21,0,0,HIGH
36,27.35,11.2,0.437,20,3,34.0,29,0,0,MEDIUM
51,31.34,18.57,0.654,5,2,46.13,3,2,1,HIGH
44,28.1,12.74,0.464,2,0,40.87,9,0,0,MEDIUM
54,22.83,16.02,0.57,9,5,44.64,8,1,0,HIGH
77,15.16,26.59,0.899,6,3,68.0,15,2,0,HIGH
12,29.19,10.96,0.027,1,4,21.7,13,2,0,LOW
45,33.11,19.6,0.504,22,3,40.77,20,1,0,HIGH
35,29.83,11.96,0.533,15,0,29.56,3,0,1,MEDIUM
28,29.18,10.39,0.287,19,6,25.0,15,0,1,MEDIUM
19,29.09,11.15,0.277,21,2,16.92,3,2,0,MEDIUM
4,28.57,2.81,0.0,15,1,8.06,24,1,1,LOW
32,27.63,8.52,0.418,8,4,32.69,20,0,0,MEDIUM
66,24.85,20.77,0.806,0,2,56.55,27,0,1,HIGH
7,31.5,5.09,0.084,2,4,2.78,23,1,1,LOW
32,26.82,8.89,0.434,7,3,31.25,21,1,1,MEDIUM
78,16.73,19.72,1.0,14,3,69.76,11,0,1,HIGH
77,18.61,19.97,0.974,15,0,68.35,26,2,0,HIGH
17,23.29,8.42,0.22,3,1,20.42,12,0,1,MEDIUM
0,33.82,0.1,0.0,6,6,0.0,7,1,1,LOW
54,18.85,16.77,0.71,21,6,47.35,6,2,1,HIGH
1,39.2,2.81,0.0,7,3,0.0,15,1,1,LOW
24,25.87,10.27,0.35,2,3,18.71,16,0,0,MEDIUM
40,29.09,12.36,0.497,5,1,38.36,7,2,1,HIGH
70,27.22,22.85,0.979,8,5,60.69,17,1,1,HIGH
7,31.89,1.73,0.0,11,4,12.78,6,2,1,LOW
53,20.33,15.94,0.645,11,3,46.88,28,0,1,HIGH
43,26.5,11.48,0.59,2,1,35.07,1,1,1,HIGH
10,32.79,7.63,0.104,2,0,13.97,1,2,1,LOW
68,15.07,20.97,0.802,4,6,65.59,10,0,0,HIGH
68,22.34,19.19,0.834,7,1,60.57,28,0,0,HIGH
39,36.5,12.04,0.405,23,4,30.87,6,1,0,MEDIUM
76,16.99,22.73,0.957,6,0,67.95,30,1,0,HIGH
49,23.21,17.47,0.759,8,4,48.91,10,1,0,HIGH
73,13.72,18.45,0.981,17,1,60.69,10,2,1,HIGH
77,19.66,20.97,0.896,8,4,64.16,3,2,1,HIGH
46,18.65,13.93,0.523,23,1,43.61,22,2,1,HIGH
22,24.63,14.49,0.251,11,3,24.51,26,2,0,MEDIUM
11,38.98,7.47,0.198,8,2,8.87,25,2,1,LOW
45,20.57,14.32,0.513,18,3,38.95,4,2,0,HIGH
15,37.11,7.98,0.146,18,2,13.02,20,2,0,LOW
60,29.42,23.94,0.803,15,2,57.25,13,0,1,HIGH
75,19.8,22.42,0.989,3,2,66.28,8,0,1,HIGH
19,33.59,6.4,0.215,7,4,20.59,23,0,0,LOW
44,35.08,17.35,0.483,13,5,43.34,19,1,1,HIGH
3,33.36,4.08,0.0,8,2,0.0,26,1,1,LOW
14,28.95,7.6,0.133,10,0,15.58,27,2,1,MEDIUM
30,21.63,9.13,0.241,6,1,29.17,26,2,1,MEDIUM
71,19.59,26.69,0.932,6,0,67.08,3,2,1,HIGH
78,25.24,28.11,0.937,11,4,74.56,19,1,1,HIGH
51,28.58,17.69,0.666,19,5,44.67,14,2,0,HIGH
47,19.95,16.87,0.7,8,1,40.17,5,2,1,HIGH
46,20.6,9.81,0.645,17,3,40.88,0,0,1,HIGH
4,31.6,4.71,0.0,23,3,2.43,6,0,1,LOW
30,29.86,9.91,0.427,3,3,20.47,26,0,1,MEDIUM
79,16.59,25.2,1.0,22,6,73.5,21,1,0,HIGH
33,28.81,12.95,0.368,7,1,28.7,24,2,1,MEDIUM
17,32.74,5.91,0.155,2,4,14.53,27,2,0,LOW
19,29.33,3.09,0.231,19,3,10.96,1,1,0,LOW
57,22.26,18.88,0.616,0,6,47.25,12,2,1,HIGH
3,35.37,0.99,0.126,23,1,0.0,23,0,1,LOW
78,17.42,23.01,0.831,4,6,67.33,22,0,1,HIGH
70,22.12,20.09,0.809,14,6,62.16,21,0,0,HIGH
45,34.45,13.75,0.546,5,3,32.85,4,0,1,HIGH
37,29.82,6.59,0.449,20,5,32.11,3,1,1,MEDIUM
61,21.86,22.12,0.772,16,4,52.43,13,2,0,HIGH
44,16.89,14.95,0.566,23,2,36.57,16,0,1,HIGH
38,28.58,15.42,0.462,18,5,37.88,9,2,1,HIGH
26,19.55,14.23,0.393,17,0,26.51,21,2,0,MEDIUM
36,20.03,12.14,0.322,22,0,27.87,6,0,0,MEDIUM
60,26.07,14.29,0.75,15,6,56.11,10,1,1,HIGH
4,37.65,0.89,0.007,5,5,0.75,3,1,0,LOW
2,33.81,0.0,0.033,5,2,2.14,15,2,1,LOW
58,13.69,16.99,0.738,15,6,51.39,22,2,1,HIGH
30,26.54,10.6,0.32,8,4,31.59,30,0,0,MEDIUM
65,17.31,15.19,0.774,18,1,53.25,7,0,1,HIGH
2,37.74,3.42,0.073,14,6,6.47,19,1,1,LOW
73,30.23,18.66,0.933,0,6,60.07,1,0,1,HIGH
9,34.1,5.26,0.072,22,5,12.82,15,0,0,LOW
33,23.84,10.97,0.535,23,4,27.39,27,1,0,MEDIUM
78,11.99,23.06,1.0,7,6,67.35,2,2,0,HIGH
8,32.96,4.06,0.012,6,5,13.72,11,1,0,LOW
53,22.46,15.49,0.681,9,3,47.35,3,1,0,HIGH
58,16.48,16.71,0.876,19,5,50.95,16,1,0,HIGH
34,28.1,7.31,0.472,0,5,34.91,26,0,1,MEDIUM
6,27.93,3.61,0.088,4,0,7.45,14,1,0,LOW
42,31.32,18.37,0.513,16,3,37.98,23,2,0,HIGH
35,32.61,16.75,0.405,10,6,36.75,9,0,1,HIGH
70,25.02,24.9,0.862,10,1,60.4,25,2,1,HIGH
55,20.53,19.16,0.654,22,4,53.38,7,1,0,HIGH
27,31.63,7.87,0.382,19,3,27.24,17,1,0,MEDIUM
4,33.46,6.73,0.026,2,4,5.12,11,0,0,LOW
47,22.72,15.02,0.561,5,2,40.03,17,2,1,HIGH
22,28.46,7.99,0.203,6,4,20.72,8,1,1,MEDIUM
55,16.4,16.67,0.685,15,5,48.55,16,1,0,HIGH
69,12.6,21.55,0.809,10,5,58.3,8,2,1,HIGH
28,32.81,8.75,0.339,16,5,26.56,22,2,1,MEDIUM
73,17.98,22.23,0.975,5,1,58.31,7,0,0,HIGH
42,26.84,11.05,0.547,11,0,34.73,10,0,1,HIGH
42,30.77,12.83,0.555,8,3,35.88,0,0,1,HIGH
61,12.91,24.78,0.784,4,1,56.75,15,2,1,HIGH
63,17.22,19.47,0.791,4,4,56.7,0,0,0,HIGH
73,19.82,21.84,0.905,9,2,60.52,14,0,0,HIGH
80,19.36,25.73,0.982,16,5,73.2,26,2,0,HIGH
12,30.47,7.13,0.196,17,3,12.14,20,2,0,LOW
33,32.89,8.46,0.347,18,3,26.22,16,1,0,MEDIUM
75,19.55,22.48,1.0,4,6,61.89,6,0,1,HIGH
24,23.65,11.02,0.302,13,4,19.86,27,0,1,MEDIUM
0,30.35,2.67,0.0,2,6,2.69,0,1,1,LOW
46,28.91,15.18,0.546,3,1,38.42,6,1,0,HIGH
60,24.12,22.69,0.709,11,6,55.8,2,1,1,HIGH
60,12.3,17.11,0.76,16,1,55.45,11,1,0,HIGH
65,27.44,20.41,0.769,5,5,60.84,5,0,1,HIGH
52,26.55,15.26,0.719,4,0,50.24,4,0,1,HIGH
11,39.3,8.81,0.091,19,4,12.09,26,0,1,LOW
68,18.12,16.16,0.714,14,6,54.04,16,2,0,HIGH
33,26.26,9.56,0.369,19,1,31.9,22,0,1,MEDIUM
68,14.41,19.72,0.729,2,1,60.36,16,2,1,HIGH
66,33.16,22.14,0.823,22,2,62.86,23,2,0,HIGH
78,16.96,25.36,1.0,19,0,69.85,23,1,1,HIGH
1,42.72,5.77,0.051,20,0,7.75,13,0,0,LOW
70,16.36,17.66,0.795,2,2,62.14,26,0,0,HIGH
50,24.82,17.88,0.579,15,5,47.87,3,1,0,HIGH
39,18.06,12.19,0.594,12,2,36.12,29,2,1,HIGH
64,19.01,18.26,0.819,4,1,56.95,14,0,0,HIGH
77,22.98,24.91,0.963,21,1,69.54,4,2,1,HIGH
41,19.72,11.18,0.576,19,0,36.09,26,0,0,MEDIUM
7,38.82,0.0,0.235,19,2,7.87,20,0,1,LOW
58,23.93,17.31,0.803,17,2,49.45,15,2,1,HIGH
18,25.82,3.3,0.233,4,3,19.78,8,1,0,LOW
18,28.53,5.42,0.246,17,2,15.53,19,1,0,LOW
15,29.4,7.13,0.225,11,4,17.73,24,1,1,MEDIUM
16,31.23,7.26,0.163,16,5,15.29,11,1,0,LOW
73,16.26,26.41,0.849,14,0,66.2,4,1,0,HIGH
29,24.48,9.62,0.366,19,0,32.17,4,2,0,MEDIUM
8,31.72,0.41,0.043,12,1,4.92,24,0,0,LOW
14,26.79,4.03,0.171,7,1,8.39,19,2,1,LOW
31,21.73,8.38,0.393,15,0,24.59,7,0,0,MEDIUM
28,28.6,6.8,0.49,16,6,22.73,15,0,1,MEDIUM
25,33.91,10.09,0.261,6,0,30.02,5,0,1,MEDIUM
76,10.63,21.67,0.943,12,5,66.82,10,0,1,HIGH
70,19.62,16.66,0.865,15,0,61.8,24,2,1,HIGH
46,21.63,16.62,0.601,8,4,39.17,8,1,1,HIGH
79,12.73,23.84,1.0,4,2,70.66,29,2,0,HIGH
27,33.33,10.45,0.308,7,3,27.19,21,0,1,MEDIUM
11,29.99,5.34,0.088,20,3,16.31,1,2,0,LOW
21,37.87,9.46,0.164,3,1,18.29,9,0,0,LOW
7,29.56,4.06,0.032,9,0,9.14,9,1,1,LOW
77,19.99,26.65,0.995,11,6,70.8,17,2,0,HIGH
17,30.12,7.82,0.215,19,5,13.53,30,2,1,MEDIUM
36,23.31,13.06,0.389,8,5,32.98,8,1,1,MEDIUM
16,34.42,7.5,0.178,23,4,14.91,5,2,0,LOW
79,16.85,20.48,0.989,10,3,60.61,23,1,1,HIGH
12,35.38,4.95,0.18,11,5,13.17,19,1,0,LOW
41,25.74,12.83,0.477,20,1,38.02,11,0,0,MEDIUM
76,12.85,23.8,0.935,10,4,66.16,21,2,0,HIGH
42,25.25,10.36,0.416,16,1,31.6,14,2,0,MEDIUM
72,19.42,26.25,0.831,8,4,70.59,27,0,0,HIGH
72,23.95,22.42,0.997,16,2,64.65,28,1,1,HIGH
62,16.83,16.33,0.644,14,2,56.25,9,1,0,HIGH
60,21.6,14.53,0.73,23,2,54.95,22,0,1,HIGH
46,16.27,14.18,0.588,9,4,39.14,15,1,1,HIGH
47,27.92,14.94,0.565,5,0,44.3,22,2,1,HIGH
67,14.85,18.96,0.789,3,5,57.56,11,2,1,HIGH
34,18.49,11.75,0.421,12,2,30.66,10,2,1,HIGH
76,17.98,21.68,0.95,12,6,65.95,0,1,1,HIGH
71,24.91,23.26,0.883,2,3,63.65,26,2,1,HIGH
30,20.78,8.59,0.262,0,0,29.5,16,2,1,MEDIUM
33,22.3,11.14,0.404,9,2,30.16,11,2,1,MEDIUM
57,18.74,20.41,0.661,0,3,51.68,16,1,0,HIGH
74,13.07,29.15,0.892,22,2,68.46,30,1,0,HIGH
7,35.36,1.44,0.101,18,1,6.79,25,1,0,LOW
5,29.86,2.24,0.101,2,2,2.16,27,0,0,LOW
20,26.99,5.5,0.304,18,5,15.79,11,1,1,MEDIUM
34,30.44,13.48,0.395,18,2,31.73,20,1,1,MEDIUM
13,28.36,2.77,0.218,17,1,9.06,16,2,1,LOW
42,27.92,12.55,0.595,20,4,36.57,25,0,0,MEDIUM
43,20.68,13.97,0.606,16,5,36.65,22,1,0,HIGH
77,12.0,21.11,1.0,12,3,72.58,16,1,1,HIGH
60,12.62,16.41,0.741,17,5,55.83,14,1,0,HIGH
20,39.91,6.41,0.24,19,1,19.2,22,0,0,LOW
63,19.54,14.39,0.837,14,1,52.57,15,2,1,HIGH
65,21.92,16.59,0.731,10,5,62.02,3,0,1,HIGH
55,22.74,16.37,0.7,13,5,49.29,1,1,0,HIGH
54,23.92,17.49,0.643,8,3,48.03,30,2,1,HIGH
25,29.75,8.54,0.29,9,3,23.53,8,0,1,MEDIUM
58,31.78,13.81,0.621,12,3,49.8,24,1,0,HIGH
10,27.61,3.64,0.072,17,1,13.42,3,0,0,LOW
50,16.21,18.0,0.624,4,4,45.74,4,2,1,HIGH
74,13.66,24.11,0.978,10,2,72.56,0,0,0,HIGH
78,11.17,23.64,1.0,7,5,66.14,7,2,1,HIGH
24,33.45,6.5,0.295,3,3,22.78,30,0,0,LOW
26,33.38,10.86,0.314,7,5,21.71,17,2,1,MEDIUM
50,19.19,14.55,0.575,7,5,49.18,0,2,1,HIGH
32,21.01,8.04,0.424,23,5,26.23,23,1,0,MEDIUM
59,20.25,16.51,0.723,9,1,51.03,28,0,0,HIGH
16,38.44,10.1,0.236,8,4,20.03,4,2,0,LOW
13,18.04,6.19,0.268,9,5,16.58,17,2,1,MEDIUM
4,36.75,6.02,0.048,5,5,3.08,29,1,1,LOW
38,21.26,11.44,0.385,21,6,32.43,10,2,0,MEDIUM
17,36.46,9.11,0.161,22,1,13.18,10,2,1,MEDIUM
24,24.33,7.22,0.213,9,4,21.54,19,1,0,LOW
74,17.29,22.33,0.853,3,4,64.89,30,2,1,HIGH
65,13.17,26.42,0.891,0,2,60.3,28,1,0,HIGH
68,15.15,22.96,0.864,23,1,59.32,23,0,1,HIGH
48,31.37,14.19,0.509,19,3,40.95,8,1,0,MEDIUM
9,37.12,4.31,0.152,20,1,6.65,15,0,0,LOW
60,19.79,19.62,0.826,14,4,55.36,5,2,0,HIGH
48,20.09,18.47,0.578,15,0,49.23,11,1,1,HIGH
73,9.47,21.22,0.872,18,2,58.04,29,2,0,HIGH
38,24.67,8.29,0.455,10,2,31.22,2,0,1,MEDIUM
14,31.77,5.22,0.192,19,5,11.68,3,2,0,LOW
48,24.02,15.48,0.638,4,0,44.36,2,0,1,HIGH
36,26.61,12.35,0.521,10,2,29.76,6,0,0,MEDIUM
53,17.73,20.13,0.735,2,4,48.74,19,2,0,HIGH
30,28.07,11.19,0.446,18,3,24.6,11,2,1,MEDIUM
24,29.53,10.75,0.382,2,5,25.34,23,0,1,MEDIUM
10,39.25,2.05,0.165,12,6,8.53,18,1,1,LOW
77,27.39,25.73,0.871,8,5,68.85,28,0,0,HIGH
61,20.9,24.32,0.755,23,2,58.4,9,2,1,HIGH
37,23.03,14.29,0.481,9,0,33.74,11,2,1,HIGH
18,30.72,7.67,0.202,3,0,12.54,1,2,0,LOW
50,20.96,16.38,0.68,22,4,46.62,29,0,1,HIGH
33,24.03,15.71,0.391,13,0,33.39,25,2,1,HIGH
51,23.49,13.96,0.582,12,5,43.61,9,0,1,HIGH
7,28.24,3.68,0.174,15,4,10.06,7,1,0,LOW
14,34.95,7.07,0.215,23,0,17.7,29,2,0,LOW
59,21.5,20.38,0.751,0,5,50.25,15,2,1,HIGH
5,35.15,2.31,0.118,17,1,2.54,28,2,0,LOW
54,22.21,17.89,0.739,10,6,53.17,9,0,0,HIGH
33,24.1,10.55,0.433,3,1,33.68,4,1,0,MEDIUM
0,30.26,2.3,0.0,21,3,0.0,18,1,0,LOW
61,20.39,18.75,0.722,13,3,50.41,26,0,1,HIGH
56,19.94,14.83,0.673,21,2,46.18,3,1,0,HIGH
66,21.65,20.43,0.766,3,1,56.96,21,0,0,HIGH
72,19.14,24.35,0.912,16,0,60.26,1,2,1,HIGH
59,15.21,16.1,0.809,0,3,51.05,21,2,0,HIGH
68,20.38,20.44,0.821,23,6,56.02,27,1,0,HIGH
9,26.31,6.18,0.044,22,2,6.38,26,2,0,LOW
